04/28/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		914		292		191		285		3266		0		0
	2		913		289		190		285		3333		0		0
	3		913		290		189		283		3283		0		0
	4		913		288		188		283		3184		0		0
	5		913		290		188		281		2911		0		0
	6		912		287		188		278		2530		0		0
	7		910		289		185		286		2280		43		0
	8		910		291		184		299		1928		337		0
	9		906		280		184		308		1529		761		146
	10		905		279		186		310		1048		1060		212
	11		903		283		189		309		617		1250		234
	12		902		283		189		319		412		1328		266
	13		902		302		189		326		454		1343		288
	14		901		311		186		341		721		1335		294
	15		902		314		185		342		1157		1297		300
	16		901		312		188		340		1845		1162		302
	17		896		311		187		338		2351		925		291
	18		894		309		187		354		2625		589		253
	19		895		312		185		355		2797		189		116
	20		895		313		184		373		2717		0		0
	21		896		314		180		370		2678		0		0
	22		898		313		184		356		2798		0		0
	23		902		310		185		310		2932		0		0
	24		903		313		184		300		2994		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4943		2277		6429		7414		1548				
	2		5006		2276		6279		6676		1218				
	3		4955		2276		5871		6285		1309				
	4		4852		2276		5536		6147		1680				
	5		4580		2277		5775		5990		1756				
	6		4191		2275		5933		6497		1767				
	7		3994		2275		5887		6508		1874				
	8		3948		2275		5837		7274		1934				
	9		4113		2275		6024		7877		2206				
	10		3999		2275		6623		8211		2396				
	11		3785		2275		7279		8285		2384				
	12		3700		2275		7794		8407		2494				
	13		3804		2274		8372		8207		2547				
	14		4089		2273		8581		8024		2474				
	15		4497		2273		8443		8238		2507				
	16		5049		2272		9032		7473		2671				
	17		5299		2274		8897		7745		2799				
	18		5211		2275		9675		7660		2801				
	19		4848		2275		9640		8072		3024				
	20		4487		2276		9986		7978		3606				
	21		4434		2277		10452		8378		3834				
	22		4546		2277		9356		8655		3231				
	23		4638		2277		8659		7996		2351				
	24		4691		2278		7152		7688		2126				
