01/02/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1073		250		159		197		16		0		0		
	2		1073		243		159		194		51		0		0		
	3		1074		246		158		194		55		0		0		
	4		1073		249		157		194		48		0		0		
	5		1074		246		158		193		39		0		0		
	6		1073		243		158		194		24		0		0		
	7		1073		236		158		208		34		0		35		
	8		1074		241		155		226		54		594		73		
	9		1072		242		155		228		36		2358		154		
	10		1074		241		153		224		20		3630		441		
	11		1073		243		154		223		14		4023		626		
	12		1072		240		156		218		10		4063		621		
	13		1072		244		155		182		7		4049		613		
	14		1068		249		158		182		8		3966		630		
	15		1069		278		160		225		12		3445		615		
	16		1069		285		160		235		14		2054		489		
	17		1069		284		162		236		19		0		228		
	18		1071		287		162		284		18		0		226		
	19		1072		280		162		286		24		0		240		
	20		1071		263		163		255		31		0		239		
	21		1072		268		164		256		20		0		213		
	22		1070		264		164		232		22		0		75		
	23		1070		258		163		214		16		0		0		
	24		1071		253		162		209		6		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1695		1130		11781		7308		395						
	2		1719		1131		11757		6570		324						
	3		1727		1131		11514		6461		303						
	4		1721		1131		11711		6287		309						
	5		1710		1131		11848		6745		237						
	6		1693		1132		12268		6998		807						
	7		1743		1131		12233		7883		1362						
	8		2417		1131		11844		8304		1596						
	9		4244		1132		11180		7737		1394						
	10		5782		1130		10532		7093		1045						
	11		6358		1130		10080		7003		729						
	12		6380		1130		9611		7018		605						
	13		6321		1130		9521		6672		548						
	14		6261		1129		9032		6789		555						
	15		5804		1129		9153		6972		583						
	16		4306		1130		10227		7511		835						
	17		1998		1130		11972		8437		1841						
	18		2048		1130		13987		8825		2673						
	19		2064		1131		14352		8928		2847						
	20		2023		1132		13960		9071		2789						
	21		1992		1131		13625		9011		2647						
	22		1828		1131		13289		9040		2148						
	23		1720		1131		13180		8499		1540						
	24		1701		1132		12576		7938		897						
