11/03/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		923		251		187		186		102		0
	2		922		251		187		185		51		0
	3		921		251		185		185		41		0
	4		922		249		184		187		62		0
	5		922		244		184		188		70		0
	6		922		243		184		197		43		0
	7		919		228		184		198		31		0
	8		918		225		183		234		27		44
	9		915		233		183		236		23		266
	10		914		230		184		238		22		589
	11		913		227		183		240		25		759
	12		913		226		182		240		27		845
	13		912		226		185		240		34		922
	14		912		227		185		236		41		898
	15		911		228		182		236		30		812
	16		911		237		180		255		20		671
	17		912		217		181		254		17		420
	18		912		216		182		255		11		55
	19		912		215		183		253		4		0
	20		911		225		186		255		5		0
	21		911		239		186		255		11		0
	22		912		251		186		228		36		0
	23		915		258		185		226		57		0
	24		915		251		186		190		59		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1649		2261		10106		6762		1093		
	2		1596		2260		9387		6767		946		
	3		1583		2260		9146		6552		843		
	4		1603		2259		8937		6653		866		
	5		1608		2258		9015		6648		968		
	6		1590		2259		9148		6753		1092		
	7		1560		2259		9988		6452		1400		
	8		1631		2258		10302		6517		1531		
	9		1856		2258		10850		6861		1359		
	10		2176		2257		11158		7040		1411		
	11		2347		2256		11172		7321		1508		
	12		2432		2257		11294		7406		1458		
	13		2519		2256		11277		7399		1456		
	14		2499		2254		11372		7406		1406		
	15		2400		2254		11481		7457		1412		
	16		2274		2254		11421		7670		1503		
	17		2001		2253		11635		7911		1602		
	18		1631		2252		12291		7771		1944		
	19		1568		2253		13076		8357		2614		
	20		1581		2254		13277		8204		2625		
	21		1602		2253		13350		8059		1894		
	22		1613		2255		12432		8037		1680		
	23		1642		2256		11310		7564		1468		
	24		1602		2257		10445		7294		1211		
