06/02/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		892		327		200		225		1708		0		0
	2		892		315		200		214		1679		0		0
	3		891		310		200		177		1587		0		0
	4		853		323		200		192		1403		0		0
	5		855		332		199		191		1412		118		0
	6		856		332		194		229		1698		129		0
	7		855		310		195		236		1743		527		0
	8		854		310		196		249		1720		1637		65
	9		853		328		197		235		1749		2732		259
	10		849		351		191		233		1593		3520		316
	11		853		365		194		241		1642		3987		408
	12		852		368		193		243		1991		4119		428
	13		851		369		194		250		2293		4079		348
	14		851		369		190		257		2397		4019		353
	15		851		372		193		267		2696		3954		466
	16		850		377		195		293		3104		3568		325
	17		849		375		195		296		3029		2899		291
	18		849		368		196		294		2696		2058		301
	19		849		366		192		338		2487		1031		142
	20		850		369		192		316		2387		277		11
	21		849		369		192		301		2562		0		0
	22		852		365		191		260		2643		0		0
	23		852		361		193		233		2573		0		0
	24		852		359		196		218		2744		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3352		2280		8183		7029		1480				
	2		3300		2281		7615		7030		1287				
	3		3165		2281		7332		6957		1154				
	4		2971		2281		7116		7094		1217				
	5		3107		2281		7647		6968		1235				
	6		3438		2281		7982		7116		1394				
	7		3866		2282		8378		7462		1689				
	8		5032		2281		9526		6847		1866				
	9		6352		2281		9910		6847		1712				
	10		7053		2279		10410		6742		1750				
	11		7691		2278		11031		6345		1929				
	12		8193		2277		11003		6545		1946				
	13		8385		2279		11370		6372		2030				
	14		8436		2278		11532		6470		2265				
	15		8800		2277		11548		6617		2254				
	16		8713		2280		11590		6770		2700				
	17		7934		2282		12305		6743		3093				
	18		6762		2282		12956		6705		3414				
	19		5406		2282		13156		7215		3499				
	20		4402		2280		12980		7856		3266				
	21		4273		2278		12281		8947		3220				
	22		4311		2278		11486		9222		2606				
	23		4211		2280		10305		8741		1769				
	24		4369		2281		8507		8635		1245				
