08/03/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		876		352		208		186		1652		0		0
	2		877		361		208		179		1734		0		0
	3		878		362		207		171		2061		0		0
	4		878		362		203		137		1950		0		0
	5		878		363		196		136		1488		0		0
	6		878		362		196		137		1225		0		0
	7		878		363		196		135		1194		71		0
	8		878		363		199		136		1094		432		0
	9		877		360		201		139		976		1123		0
	10		877		361		203		191		791		1654		0
	11		877		360		203		204		607		2094		1
	12		876		359		204		218		499		2371		1
	13		874		358		205		225		419		2377		0
	14		875		360		204		247		540		1983		0
	15		874		359		205		260		627		1705		0
	16		873		352		205		273		509		1465		0
	17		873		354		204		285		538		907		0
	18		873		353		204		326		592		594		0
	19		874		357		203		328		912		306		0
	20		875		363		205		295		1548		0		0
	21		875		363		205		265		1903		0		0
	22		876		362		204		240		1740		0		0
	23		877		364		204		223		1449		0		0
	24		877		359		203		200		1421		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3274		2264		12915		7815		881				
	2		3360		2264		11850		7664		993				
	3		3679		2264		11664		6916		879				
	4		3530		2264		10899		7321		793				
	5		3061		2266		11130		7319		777				
	6		2798		2266		11595		7067		931				
	7		2836		2263		11159		7647		784				
	8		3102		2263		11185		7086		986				
	9		3676		2262		11935		6970		1065				
	10		4077		2263		12481		7286		1001				
	11		4346		2263		13342		7261		1101				
	12		4527		2265		14035		7285		1393				
	13		4459		2265		14180		7643		1778				
	14		4209		2267		14104		7899		2235				
	15		4030		2264		15077		7426		2639				
	16		3678		2262		14824		7895		3314				
	17		3161		2263		15425		7665		3605				
	18		2942		2263		15259		7826		3514				
	19		2980		2265		14799		7777		3476				
	20		3285		2266		14530		7720		3044				
	21		3611		2265		14579		8480		2566				
	22		3424		2265		14632		8691		1877				
	23		3116		2265		13655		8382		1428				
	24		3061		2265		12432		7961		1017				
