07/20/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		874		365		210		211		1847		0		0
	2		877		366		208		210		1765		0		0
	3		878		361		207		212		1651		0		0
	4		878		363		208		202		1600		0		0
	5		878		366		208		168		1622		0		0
	6		878		366		208		168		1899		0		0
	7		878		370		209		174		1911		154		0
	8		878		371		208		177		1640		963		0
	9		831		370		208		211		1939		2092		101
	10		826		369		208		222		1732		2683		248
	11		833		367		207		227		1494		3227		307
	12		877		366		205		229		1378		3615		481
	13		878		368		206		225		1375		3836		589
	14		878		367		206		239		1518		3904		589
	15		876		367		207		252		1669		3889		590
	16		874		367		207		252		1908		3762		474
	17		874		363		207		254		2177		3220		457
	18		873		365		206		290		2318		2406		470
	19		873		368		206		296		2486		1210		314
	20		826		370		208		257		2802		227		25
	21		822		369		209		257		2914		0		0
	22		844		358		209		245		2702		0		0
	23		878		368		209		213		2828		0		0
	24		881		364		209		208		2811		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3506		2163		9276		8868		1167				
	2		3426		2200		8194		9192		961				
	3		3309		2218		7499		9472		853				
	4		3252		2217		7197		9289		884				
	5		3241		2224		7096		9223		874				
	6		3519		2237		6948		9228		872				
	7		3697		2236		7158		8628		875				
	8		4238		2235		7117		8428		1159				
	9		5754		2233		6452		8502		1339				
	10		6288		2238		6683		8506		1518				
	11		6663		2239		7184		8458		1455				
	12		7152		2239		7671		8575		1378				
	13		7478		2247		8131		8365		1567				
	14		7702		2244		8583		8292		1992				
	15		7849		2245		9449		8177		2191				
	16		7845		2245		9807		8241		2705				
	17		7553		2244		10116		8553		3101				
	18		6928		2244		10450		9074		3282				
	19		5753		2242		10961		9538		3246				
	20		4715		2241		11256		9572		3136				
	21		4571		2243		11642		9878		2891				
	22		4357		2246		11587		10013		2422				
	23		4496		2247		10346		10014		1445				
	24		4473		2249		8886		9636		1045				
