04/12/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		908		244		161		289		3258		0		0
	2		908		244		160		291		3356		0		0
	3		909		245		161		291		2946		0		0
	4		909		249		162		289		2135		0		0
	5		909		250		162		289		1565		0		0
	6		909		246		159		290		1540		0		0
	7		907		244		157		302		1987		14		0
	8		907		247		156		316		1814		226		0
	9		899		250		155		336		1062		648		139
	10		896		248		157		346		450		961		276
	11		895		250		156		341		161		1251		297
	12		895		246		158		343		107		1342		291
	13		893		245		160		349		128		1366		285
	14		892		250		161		348		235		1349		287
	15		892		255		161		357		352		1311		293
	16		891		264		161		351		699		1147		301
	17		891		269		161		360		1281		921		292
	18		891		267		163		368		1587		532		260
	19		892		269		164		358		1812		146		100
	20		892		269		164		374		1999		0		0
	21		894		247		163		373		2065		0		0
	22		896		236		163		355		2228		0		0
	23		900		236		163		344		2295		0		0
	24		899		224		163		302		2596		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4857		2281		6865		7226		1424				
	2		4957		2280		6387		7002		1166				
	3		4548		2281		6274		7026		1111				
	4		3741		2280		7018		6715		1269				
	5		3172		2279		7297		7068		1214				
	6		3141		2280		7795		7312		1305				
	7		3611		2280		8339		7269		1868				
	8		3667		2281		8893		7619		2472				
	9		3488		2282		10480		6909		2568				
	10		3333		2282		10536		7578		2487				
	11		3351		2283		10925		7591		2497				
	12		3381		2282		11086		7501		2633				
	13		3427		2282		10831		7984		2620				
	14		3520		2281		10729		8169		2834				
	15		3619		2281		10610		8329		2783				
	16		3814		2282		10222		8362		2820				
	17		4175		2281		9262		8974		2775				
	18		4067		2281		9233		8751		2834				
	19		3740		2281		9303		8432		3006				
	20		3695		2281		9171		8673		3869				
	21		3738		2282		9827		8773		3940				
	22		3875		2282		9309		8329		3780				
	23		3934		2281		8702		8271		2588				
	24		4181		2281		7499		8006		1698				
