11/07/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		918		299		184		153		542		0
	2		918		307		183		159		799		0
	3		918		308		183		160		867		0
	4		918		311		183		155		940		0
	5		914		310		183		156		879		0
	6		917		298		184		155		712		0
	7		918		301		183		198		583		35
	8		917		280		180		241		495		245
	9		910		278		179		249		364		633
	10		907		273		178		247		293		850
	11		910		268		179		249		351		906
	12		911		267		181		246		460		901
	13		909		269		185		235		729		870
	14		908		275		183		227		1247		806
	15		908		286		184		225		1517		677
	16		910		289		186		227		1721		382
	17		911		290		187		276		1630		46
	18		912		287		187		305		1749		0
	19		912		291		184		308		1863		0
	20		914		291		184		289		1948		0
	21		916		290		181		288		1933		0
	22		918		291		183		253		1838		0
	23		920		289		184		211		1631		0
	24		921		280		184		205		1725		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2095		2245		10079		6360		953		
	2		2365		2246		9014		6343		897		
	3		2435		2247		8839		6157		896		
	4		2506		2246		8790		5998		932		
	5		2441		2248		8769		6457		1063		
	6		2265		2248		10318		6413		1097		
	7		2219		2248		11679		6712		1568		
	8		2358		2249		12979		6612		1390		
	9		2613		2249		13059		6856		1557		
	10		2748		2248		13810		6455		1746		
	11		2864		2246		13922		6941		1656		
	12		2966		2244		13959		7170		1686		
	13		3197		2245		14604		6434		1721		
	14		3646		2246		14185		6593		1847		
	15		3797		2246		13987		6617		1909		
	16		3716		2247		13599		6820		2107		
	17		3341		2246		14060		6669		2252		
	18		3440		2244		15746		6605		2472		
	19		3558		2243		15527		6716		2347		
	20		3626		2242		14650		6713		2280		
	21		3607		2243		13933		6652		1888		
	22		3483		2245		12543		6427		1752		
	23		3235		2245		11127		6230		1691		
	24		3315		2248		9924		5949		1403		
