12/04/12			Hourly Breakdown of Renewable Resources												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		836		331		185		326		140		0		0
	2		835		331		185		290		147		0		0
	3		835		332		184		265		141		0		0
	4		837		335		184		261		128		0		0
	5		838		336		183		259		129		0		0
	6		838		334		183		304		122		0		0
	7		838		325		184		303		106		0		0
	8		837		319		181		302		101		89		0
	9		835		324		177		318		102		272		0
	10		833		328		176		322		97		437		28
	11		832		336		177		363		97		628		28
	12		833		338		178		366		89		650		6
	13		834		343		178		367		93		608		0
	14		834		350		178		369		98		496		0
	15		869		348		176		330		93		323		0
	16		889		351		175		329		78		122		0
	17		889		353		175		365		76		4		0
	18		889		346		178		373		76		0		0
	19		889		344		178		372		63		0		0
	20		888		343		179		375		105		0		0
	21		888		347		178		377		172		0		0
	22		889		351		179		340		213		0		0
	23		889		348		179		337		318		0		0
	24		889		344		181		337		389		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1795		1585		9823		6592		1905				
	2		1769		1614		8861		6406		1980				
	3		1738		1632		8753		6452		1978				
	4		1724		1764		8888		6144		1957				
	5		1725		1917		9097		5877		2043				
	6		1767		2071		10561		5688		1922				
	7		1745		2200		11247		7495		1988				
	8		1825		2223		12572		7605		1980				
	9		2016		2244		13124		7427		2104				
	10		2206		2245		13777		7122		2019				
	11		2455		2247		13312		7767		2041				
	12		2450		2249		13674		7574		1998				
	13		2408		2247		13584		7711		1989				
	14		2308		2247		13458		7750		2100				
	15		2122		2249		13533		7617		2098				
	16		1924		2249		13276		7932		2124				
	17		1842		2247		13969		8283		2285				
	18		1839		2249		16157		8450		2631				
	19		1831		2247		16810		7967		2447				
	20		1886		2246		15813		8319		2509				
	21		1958		2244		15507		7842		2194				
	22		1968		2247		13865		7662		2290				
	23		2067		2244		12393		6911		2036				
	24		2137		2245		10117		6859		1926				
