05/31/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		894		321		192		221		2817		0		0
	2		894		317		192		218		3018		0		0
	3		895		305		191		197		3101		0		0
	4		895		323		191		180		2692		0		0
	5		896		338		191		177		2473		120		0
	6		896		337		190		175		2324		132		0
	7		897		343		189		216		1980		520		0
	8		896		343		188		220		1716		1664		86
	9		895		343		180		231		1379		2813		411
	10		894		331		184		236		1105		3582		498
	11		893		324		187		239		895		4020		515
	12		892		327		188		236		1110		4152		495
	13		890		337		188		244		1577		4142		410
	14		889		348		188		250		1848		4116		429
	15		887		368		189		246		1945		4108		554
	16		886		367		184		280		1887		3875		566
	17		885		369		180		283		2179		3339		526
	18		885		356		187		292		2592		2533		442
	19		885		351		190		299		2566		1297		245
	20		887		348		182		334		2260		347		3
	21		889		342		186		327		2329		0		0
	22		889		342		183		268		2112		0		0
	23		891		338		178		238		2047		0		0
	24		892		336		178		230		2146		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4444		1871		7408		8479		1403				
	2		4638		1650		6452		8522		1310				
	3		4689		1385		6385		8227		1068				
	4		4282		1244		6284		8331		1125				
	5		4196		1146		6430		8408		1148				
	6		4054		1134		6546		8530		1189				
	7		4145		1134		6888		7946		1458				
	8		5113		1134		7148		7362		1593				
	9		6253		1134		7247		7195		1635				
	10		6831		1134		7895		7259		1669				
	11		7073		1134		8596		7137		1901				
	12		7400		1134		8729		7468		1863				
	13		7788		1134		9446		6825		1969				
	14		8067		1135		10003		6481		2116				
	15		8298		1293		10077		6512		2143				
	16		8045		1476		10027		6878		2438				
	17		7761		1638		10713		6865		2512				
	18		7287		1687		10937		7173		2734				
	19		5832		1879		11613		7484		2840				
	20		4361		2090		11701		7721		3184				
	21		4073		2212		11663		7886		3350				
	22		3794		2237		11443		7957		3048				
	23		3693		2242		10519		7571		2487				
	24		3782		2276		9042		7384		1726				
