12/16/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1058		229		165		224		326		0		0		
	2		1057		243		165		217		279		0		0		
	3		1057		246		165		182		319		0		0		
	4		1058		247		165		182		263		0		0		
	5		1059		247		165		219		214		0		0		
	6		1059		244		165		222		159		0		0		
	7		1058		250		160		244		85		0		0		
	8		1058		246		159		258		82		310		0		
	9		1056		237		160		238		43		1010		0		
	10		1055		241		162		233		28		1880		0		
	11		1054		239		167		231		74		2092		0		
	12		1054		240		168		232		76		1885		0		
	13		1053		248		170		234		129		1851		0		
	14		1054		249		173		237		291		1492		0		
	15		1053		256		171		236		379		1112		0		
	16		1053		259		176		237		405		784		0		
	17		1054		255		178		265		352		0		0		
	18		1056		256		178		301		176		0		0		
	19		1057		257		180		302		129		0		0		
	20		1057		246		179		301		484		0		0		
	21		1053		255		180		264		110		0		0		
	22		1053		258		181		255		106		0		0		
	23		1053		257		185		225		119		0		0		
	24		1053		251		185		222		91		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2003		2259		10771		6006		803						
	2		1962		2260		10320		5575		715						
	3		1970		2260		9936		5492		669						
	4		1915		2260		9637		5477		698						
	5		1904		2261		10337		5255		760						
	6		1849		2260		10916		6054		1067						
	7		1797		2260		12045		7134		1417						
	8		2113		2261		12991		7188		1777						
	9		2745		2261		12882		7518		1460						
	10		3598		2260		12436		7661		1129						
	11		3856		2249		11946		7773		1142						
	12		3655		2247		12334		7398		1155						
	13		3686		2248		12352		7169		1117						
	14		3495		2247		12679		7098		1155						
	15		3207		2251		13343		6870		1141						
	16		2913		2260		13398		7232		1315						
	17		2103		2261		14536		7571		2082						
	18		1968		2260		16906		7375		2399						
	19		1925		2260		16596		7975		2313						
	20		2268		2260		15905		7844		2323						
	21		1862		2261		15846		7687		2141						
	22		1852		2261		14604		7657		1768						
	23		1840		2262		12790		7479		1408						
	24		1803		2260		11459		6899		992						
