01/08/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1065		301		163		194		24		0		0		
	2		1065		297		163		188		29		0		0		
	3		1066		282		162		188		28		0		0		
	4		1066		277		163		187		28		0		0		
	5		1066		277		163		187		16		0		0		
	6		1066		275		161		197		22		0		0		
	7		1066		277		162		202		20		0		0		
	8		1067		278		159		221		28		194		0		
	9		1065		280		156		220		13		1305		0		
	10		1062		280		158		217		9		2197		0		
	11		1061		281		158		210		3		2660		0		
	12		1060		305		161		210		3		3110		0		
	13		1060		310		162		212		13		3160		51		
	14		1059		313		163		213		11		2878		297		
	15		1058		305		158		226		3		2005		304		
	16		1059		308		159		227		4		945		147		
	17		1060		319		167		233		24		0		1		
	18		1062		309		169		280		75		0		0		
	19		1065		287		171		283		191		0		0		
	20		1065		289		173		282		165		0		0		
	21		1067		313		174		245		55		0		0		
	22		1067		316		174		230		32		0		0		
	23		1067		316		174		211		23		0		0		
	24		1068		301		174		205		16		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1748		2264		8755		7316		793						
	2		1742		2265		8567		7173		832						
	3		1725		2266		8644		6912		767						
	4		1721		2266		8725		6692		828						
	5		1709		2265		8806		7138		808						
	6		1722		2265		8976		7938		1035						
	7		1727		2267		10523		8732		1274						
	8		1947		2266		11930		8505		1305						
	9		3039		2265		12242		7407		1234						
	10		3923		2265		11600		7154		1146						
	11		4373		2266		11503		7026		919						
	12		4850		2266		11116		7066		843						
	13		4968		2265		11094		7174		829						
	14		4934		2265		11085		7165		881						
	15		4059		2265		11291		7384		969						
	16		2849		2265		11942		7584		1284						
	17		1805		2266		12918		7822		1431						
	18		1896		2268		14407		8080		1928						
	19		1997		2268		14331		8194		2094						
	20		1975		2265		13859		8217		2021						
	21		1853		2266		13581		8282		1454						
	22		1819		2267		12784		7941		1306						
	23		1792		2264		11545		7469		1156						
	24		1763		2264		10157		7077		958						
