07/12/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		885		351		204		172		3778		0		0
	2		884		352		203		166		3664		0		0
	3		884		349		203		140		3407		0		0
	4		888		349		203		131		3308		0		0
	5		889		340		203		129		3168		0		0
	6		888		327		203		130		2958		0		0
	7		886		329		203		129		2434		243		0
	8		888		334		201		140		2250		1151		37
	9		887		337		198		181		1706		2099		277
	10		886		338		199		199		1145		2823		441
	11		885		335		199		199		723		3408		575
	12		882		340		198		200		566		3623		606
	13		880		339		198		200		557		3702		586
	14		878		339		201		208		561		3771		543
	15		877		340		202		216		748		3648		366
	16		877		337		203		215		887		3298		259
	17		879		337		202		226		1178		2781		233
	18		879		338		200		279		2025		2169		196
	19		878		339		205		250		2977		1064		155
	20		879		338		206		240		3496		208		19
	21		877		341		207		232		3684		0		0
	22		879		336		207		215		3706		0		0
	23		881		329		207		204		3577		0		0
	24		882		325		206		180		3417		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5389		1888		9457		8761		899				
	2		5268		1888		8023		9037		771				
	3		4983		1888		7695		8816		782				
	4		4878		1888		7475		8900		776				
	5		4729		1888		7592		8812		760				
	6		4505		1888		7824		8934		782				
	7		4223		1889		8054		8682		955				
	8		5000		1890		8221		8408		1127				
	9		5684		1891		8884		8395		1225				
	10		6030		1892		9541		8224		1659				
	11		6324		1892		10922		7860		1700				
	12		6415		1892		11976		7911		1643				
	13		6461		1891		13070		7489		1859				
	14		6502		1891		13665		7468		2023				
	15		6397		1892		14845		6916		2615				
	16		6075		1892		15583		6924		3143				
	17		5836		1892		16169		7190		3317				
	18		6085		1892		15986		7355		3321				
	19		5867		1893		15672		7736		3119				
	20		5386		1894		15452		7564		2986				
	21		5341		1893		14641		8462		2623				
	22		5343		1892		13637		8861		2457				
	23		5197		1893		13222		8251		1629				
	24		5009		1893		11819		8151		1136				
