06/01/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		893		316		181		234		2679		0		0
	2		893		322		185		217		3305		0		0
	3		894		334		189		180		3267		0		0
	4		895		333		189		181		3116		0		0
	5		894		343		189		181		2679		120		0
	6		896		344		189		184		2131		130		0
	7		895		352		188		182		1576		520		0
	8		895		356		188		224		960		1736		57
	9		893		354		188		238		526		2879		452
	10		892		353		188		234		411		3586		578
	11		889		353		189		235		356		4010		608
	12		888		354		191		235		375		4146		621
	13		887		346		194		236		353		4118		624
	14		886		343		194		243		468		4102		624
	15		886		343		195		262		556		4086		620
	16		888		342		196		274		785		3849		618
	17		888		342		195		277		1106		3331		617
	18		887		342		199		294		1523		2527		551
	19		887		338		201		293		1568		1303		348
	20		888		337		201		330		1419		355		21
	21		888		340		202		329		1496		0		0
	22		888		344		201		281		1576		0		0
	23		888		339		200		251		1667		0		0
	24		890		337		200		231		1640		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4303		2281		7639		6703		1641				
	2		4922		2279		6867		6232		1034				
	3		4864		2278		6503		6040		937				
	4		4715		2279		6368		6002		1057				
	5		4408		2279		6096		6570		1132				
	6		3874		2279		6057		6618		1604				
	7		3713		2277		5948		6649		1579				
	8		4416		2277		5838		6395		2098				
	9		5531		2282		5815		6476		1752				
	10		6241		2280		6088		6530		1762				
	11		6640		2279		6590		6541		1674				
	12		6811		2279		7373		6502		1754				
	13		6758		2280		8515		6219		1796				
	14		6860		2281		9473		6242		1701				
	15		6947		2281		9928		6392		2094				
	16		6952		2279		10922		6359		2272				
	17		6756		2280		11870		6449		2471				
	18		6322		2282		12235		6768		2935				
	19		4938		2285		12725		7339		3346				
	20		3551		2282		12887		7515		3730				
	21		3255		2279		13043		7770		3669				
	22		3290		2280		12640		7970		2906				
	23		3346		2281		11164		7577		2311				
	24		3298		2281		9413		7295		1676				
