07/15/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		887		342		195		178		1663		0		0
	2		887		342		194		151		1342		0		0
	3		888		344		199		152		1090		0		0
	4		888		346		204		150		909		0		0
	5		889		344		205		151		1009		0		0
	6		888		323		204		186		936		0		0
	7		889		334		201		203		673		196		0
	8		888		339		201		215		861		1043		0
	9		887		339		202		242		944		2315		50
	10		887		339		200		249		939		3078		164
	11		887		330		200		249		761		3512		256
	12		886		323		201		247		891		3843		296
	13		883		325		204		261		883		3941		316
	14		881		323		204		294		1059		3855		290
	15		879		313		205		321		1271		3766		320
	16		879		307		206		385		1537		3683		324
	17		878		304		207		346		1942		3238		322
	18		877		306		209		355		2140		2375		264
	19		879		303		209		369		2490		1242		157
	20		880		320		210		294		2691		258		20
	21		881		337		210		281		2678		0		0
	22		883		343		210		271		2738		0		0
	23		883		333		210		225		2709		0		0
	24		883		345		209		218		2752		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3265		1889		13196		8463		733				
	2		2917		1889		11906		8815		662				
	3		2672		1886		11291		8716		767				
	4		2498		1883		11319		8510		671				
	5		2598		1882		11340		8587		715				
	6		2536		1882		12228		8598		801				
	7		2496		1881		12771		9160		1307				
	8		3546		1881		13240		8862		1879				
	9		4977		1881		13701		8711		1925				
	10		5856		1880		14549		8364		1954				
	11		6196		1885		15576		8168		2241				
	12		6688		1888		16180		8150		2442				
	13		6813		1883		17414		7485		2768				
	14		6907		1884		18197		7451		3061				
	15		7076		2166		18037		7549		3640				
	16		7321		2260		18412		7303		3794				
	17		7237		2261		18333		7456		3935				
	18		6526		2262		18168		7538		4114				
	19		5650		2262		17512		7665		4093				
	20		4673		2261		16916		8304		3645				
	21		4387		2257		16656		9252		3246				
	22		4445		2256		16052		9049		2787				
	23		4359		2261		14313		9154		1951				
	24		4407		2264		12397		8744		1475				
