09/19/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		875		326		153		151		2305		0		0
	2		875		326		153		144		2305		0		0
	3		876		330		153		110		2480		0		0
	4		876		332		152		111		2485		0		0
	5		876		329		152		121		2092		0		0
	6		876		313		151		161		2189		0		0
	7		877		310		150		154		2408		0		0
	8		877		316		150		154		2098		698		0
	9		876		335		150		154		1709		2392		225
	10		873		337		152		156		1295		3489		479
	11		871		338		150		178		957		4016		424
	12		869		338		147		177		656		4157		482
	13		869		339		150		191		628		4150		608
	14		868		339		151		197		827		4157		565
	15		869		341		151		199		833		4099		615
	16		869		343		147		198		905		3727		575
	17		868		344		151		202		888		2865		634
	18		868		342		151		248		951		1521		544
	19		869		342		151		216		1079		0		62
	20		870		342		152		212		1807		0		0
	21		872		340		152		204		2207		0		0
	22		873		342		152		203		2195		0		0
	23		873		322		152		189		1791		0		0
	24		873		314		151		159		1612		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3810		2256		12128		6697		440				
	2		3803		2260		11136		6496		367				
	3		3949		2261		10273		6353		388				
	4		3956		2254		10243		6239		389				
	5		3571		2254		11032		6278		445				
	6		3690		2262		11731		6474		472				
	7		3899		2264		12215		7669		719				
	8		4292		2263		13288		7505		674				
	9		5841		2264		13225		7190		665				
	10		6782		2262		12994		7403		863				
	11		6933		2259		13811		7316		926				
	12		6826		2255		14321		7539		1186				
	13		6934		2259		15062		7146		1333				
	14		7104		2262		16176		6886		1541				
	15		7107		2258		16595		7350		1692				
	16		6764		2256		17371		7612		1753				
	17		5952		2254		17701		7921		2121				
	18		4626		2254		17943		8079		2217				
	19		2719		2263		18280		8114		2128				
	20		3383		2265		17400		9173		1802				
	21		3775		2265		16074		9449		1642				
	22		3764		2265		14990		8953		1490				
	23		3327		2265		14564		7892		1053				
	24		3110		2265		13889		6701		741				
