10/09/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		872		262		167		133		3347		0		0
	2		873		261		167		93		3133		0		0
	3		874		264		167		95		2767		0		0
	4		875		267		167		95		2669		0		0
	5		875		271		167		132		2713		0		0
	6		875		252		166		129		2743		0		0
	7		875		248		166		125		2742		0		0
	8		874		254		164		156		2912		502		0
	9		874		269		164		169		2989		2069		5
	10		873		272		164		173		2839		3166		120
	11		871		263		162		179		2695		3645		169
	12		871		266		160		175		2613		4130		286
	13		869		274		166		173		2614		4120		403
	14		868		273		164		184		2645		4045		483
	15		868		275		166		186		2725		4030		391
	16		868		277		167		186		2924		3595		380
	17		867		278		167		185		3199		2653		255
	18		870		279		168		187		3419		959		82
	19		870		277		169		192		3677		0		0
	20		871		279		168		187		3905		0		0
	21		873		280		168		188		3997		0		0
	22		874		277		168		188		3977		0		0
	23		874		278		168		171		3764		0		0
	24		875		277		168		159		3730		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4782		1133		15017		4838		460				
	2		4527		1133		14113		4994		454				
	3		4167		1134		13875		5047		459				
	4		4073		1133		13804		4956		453				
	5		4157		1134		14059		5048		484				
	6		4165		1132		14959		5097		541				
	7		4156		1131		17280		6907		701				
	8		4861		1132		17549		6966		842				
	9		6540		1133		16939		6863		619				
	10		7609		1132		16742		6255		671				
	11		7983		1132		17024		6376		980				
	12		8501		1131		16880		6543		683				
	13		8620		1131		17259		6830		786				
	14		8663		1130		17881		6698		1005				
	15		8642		1129		18466		6648		1243				
	16		8397		1130		19128		6984		1370				
	17		7605		1131		19722		7093		1481				
	18		5964		1130		20652		7470		1381				
	19		5184		1132		21300		7624		1552				
	20		5409		1132		21669		8163		1338				
	21		5505		1133		20441		8270		1163				
	22		5483		1133		18716		7838		955				
	23		5256		1131		17115		6448		797				
	24		5208		1132		15351		5541		612				
