12/13/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1063		302		158		191		1484		0		0		
	2		1063		298		158		156		1587		0		0		
	3		1063		300		158		153		1448		0		0		
	4		1064		301		158		149		1458		0		0		
	5		1065		301		159		144		1633		0		0		
	6		1065		302		159		190		1591		0		0		
	7		1064		313		157		191		1852		0		0		
	8		1063		314		159		203		1819		630		0		
	9		1063		313		160		201		2047		2113		0		
	10		1056		318		162		199		2209		2983		39		
	11		1056		319		161		200		2430		2941		72		
	12		1057		316		162		199		2255		2836		71		
	13		1056		312		166		200		2270		2948		64		
	14		1054		316		167		202		2177		3149		80		
	15		1052		315		167		202		1939		2738		112		
	16		1052		315		164		201		2122		1503		99		
	17		1052		315		168		217		2208		0		5		
	18		1055		316		167		280		2219		0		0		
	19		1058		316		168		283		1945		0		0		
	20		1057		314		169		248		1503		0		0		
	21		1058		315		162		244		1037		0		0		
	22		1058		313		161		242		430		0		0		
	23		1059		294		161		205		161		0		0		
	24		1059		286		161		187		115		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3198		2253		9054		6451		1149						
	2		3262		2254		7890		6514		1146						
	3		3122		2253		7135		6945		1034						
	4		3131		2254		7133		6617		1009						
	5		3301		2256		6755		6912		1081						
	6		3307		2255		7347		6626		1295						
	7		3577		2254		7143		7491		1508						
	8		4189		2255		7654		7097		1478						
	9		5897		2255		7156		6988		1326						
	10		6966		2254		7000		6670		1259						
	11		7179		2255		6914		6443		1380						
	12		6895		2258		7355		6168		1295						
	13		7015		2255		7408		5800		1241						
	14		7145		2254		7398		5460		1236						
	15		6526		2254		7912		5554		1210						
	16		5457		2254		8425		6368		1348						
	17		3965		2253		10485		6850		1842						
	18		4037		2254		12438		7582		2102						
	19		3770		2254		12800		7820		1974						
	20		3290		2254		12698		7996		1929						
	21		2815		2255		12529		7991		1992						
	22		2204		2255		12537		7760		2058						
	23		1879		2254		12322		6792		1937						
	24		1808		2253		10685		7086		1437						
