01/12/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1060		298		171		189		115		0		0		
	2		1060		293		173		150		159		0		0		
	3		1060		289		172		149		200		0		0		
	4		1060		302		173		150		230		0		0		
	5		1062		299		173		151		237		0		0		
	6		1063		298		174		198		238		0		0		
	7		1063		304		171		197		337		0		0		
	8		1064		302		171		200		585		199		0		
	9		1063		301		169		198		528		1028		0		
	10		1062		303		170		197		281		1552		0		
	11		1061		304		168		186		146		2424		0		
	12		1059		302		166		186		154		3128		0		
	13		1059		304		165		186		490		3137		0		
	14		1059		321		171		188		884		3025		0		
	15		1059		324		169		185		1157		2625		0		
	16		1059		329		166		186		1553		1730		0		
	17		1060		331		169		197		1943		343		0		
	18		1061		333		171		227		1902		0		0		
	19		1061		332		171		229		1680		0		0		
	20		1061		330		170		231		1481		0		0		
	21		1062		332		169		233		1129		0		0		
	22		1062		327		170		204		1017		0		0		
	23		1063		324		170		203		751		0		0		
	24		1063		307		171		201		497		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1834		2265		8695		6606		856						
	2		1835		2267		8577		6147		818						
	3		1871		2267		8645		6000		778						
	4		1916		2267		8683		6042		746						
	5		1922		2267		8807		6234		828						
	6		1970		2268		8886		7226		1098						
	7		2072		2267		10621		7763		1376						
	8		2519		2266		11474		8223		1376						
	9		3287		2267		11193		8314		1278						
	10		3565		2266		11390		7986		1100						
	11		4291		2266		11144		7526		968						
	12		4995		2266		10377		7331		916						
	13		5341		2266		10347		6816		830						
	14		5647		2266		10303		6430		854						
	15		5518		2266		9953		6847		870						
	16		5022		2265		9935		7305		1059						
	17		4042		2264		10908		7809		1249						
	18		3694		2264		12923		8394		1558						
	19		3473		2264		13377		8478		1790						
	20		3274		2264		13270		8281		1761						
	21		2925		2264		12571		8632		1602						
	22		2780		2265		11691		8402		1355						
	23		2512		2264		10262		8089		1099						
	24		2240		2264		8636		7975		1003						
