12/12/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1056		283		171		211		645		0		0		
	2		1058		277		171		175		751		0		0		
	3		1058		281		169		164		721		0		0		
	4		1057		281		169		169		542		0		0		
	5		1037		280		170		166		1155		0		0		
	6		1051		276		164		217		487		0		0		
	7		1057		280		159		227		187		0		0		
	8		1058		276		158		247		117		218		0		
	9		1058		275		157		238		363		499		0		
	10		1057		276		158		232		478		985		1		
	11		1056		279		159		230		565		1277		1		
	12		1057		280		159		238		431		1205		0		
	13		1058		277		159		224		290		1256		0		
	14		1059		279		158		224		386		944		0		
	15		1060		279		157		219		486		787		0		
	16		1059		285		157		235		492		307		0		
	17		1060		284		157		248		733		0		0		
	18		1060		281		157		296		678		0		0		
	19		1061		283		158		302		621		0		0		
	20		1061		284		158		267		876		0		0		
	21		1061		294		158		248		902		0		0		
	22		1061		308		158		244		1234		0		0		
	23		1062		311		158		215		1530		0		0		
	24		1063		301		158		209		1552		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2366		2255		9082		6814		1222						
	2		2432		2256		8625		6528		1168						
	3		2393		2255		8390		6287		1123						
	4		2218		2256		8270		6311		1126						
	5		2808		2256		8383		5977		1052						
	6		2195		2255		9583		6479		1307						
	7		1911		2255		11502		7195		1513						
	8		2073		2255		12634		7657		1665						
	9		2591		2254		13293		7450		1480						
	10		3186		2252		13042		7714		1421						
	11		3568		2253		12891		7739		1385						
	12		3368		2254		13103		7696		1252						
	13		3264		2252		13140		7330		1277						
	14		3050		2252		13287		7128		1232						
	15		2989		2252		12534		7571		1239						
	16		2535		2251		12532		7963		1455						
	17		2482		2251		13686		7691		1770						
	18		2472		2251		14961		8589		2095						
	19		2425		2251		14826		8547		2195						
	20		2646		2251		14418		8262		2014						
	21		2663		2251		13678		8236		1849						
	22		3005		2252		12347		8390		1543						
	23		3277		2252		11504		7289		1423						
	24		3284		2252		9509		7390		1276						
