08/24/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		890		328		176		157		2182		0		0
	2		891		327		177		150		2126		0		0
	3		892		327		177		114		2050		0		0
	4		892		329		177		122		2066		0		0
	5		893		329		178		123		2123		0		0
	6		893		329		177		120		1989		0		0
	7		893		327		177		118		1873		78		0
	8		892		309		177		123		1777		1071		0
	9		892		325		177		125		1681		2655		211
	10		891		327		177		179		1523		3548		421
	11		890		328		177		192		1202		4052		496
	12		888		325		176		188		986		4197		517
	13		885		325		177		195		942		4107		501
	14		886		326		177		194		1090		4057		505
	15		886		326		177		206		1193		4130		506
	16		885		324		176		210		1481		3921		509
	17		885		327		175		248		1928		3196		512
	18		885		327		175		272		2158		2175		305
	19		886		326		175		276		2202		719		119
	20		885		327		175		238		2355		0		0
	21		885		327		175		199		2648		0		0
	22		887		327		175		196		2724		0		0
	23		888		327		175		189		2550		0		0
	24		889		326		175		167		2333		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3734		2271		10801		6508		1078				
	2		3671		2269		10301		6317		967				
	3		3559		2268		9591		6416		961				
	4		3585		2270		9180		6460		729				
	5		3645		2272		9036		6392		714				
	6		3509		2268		9340		6377		734				
	7		3466		2269		9119		6784		761				
	8		4350		2271		8817		6310		917				
	9		6064		2270		8220		6151		985				
	10		7067		2266		8373		6090		925				
	11		7337		2261		9042		6079		920				
	12		7278		2259		10299		5712		997				
	13		7134		2261		10747		6321		1129				
	14		7235		2260		11509		6521		1469				
	15		7423		2257		12483		6456		1567				
	16		7505		2260		12846		6633		2015				
	17		7270		2262		13076		7269		2254				
	18		6298		2263		13266		8184		2450				
	19		4703		2262		13386		8763		2924				
	20		3980		2261		13702		8825		2824				
	21		4236		2252		14006		8735		2733				
	22		4309		2255		13313		8256		2122				
	23		4130		2260		12182		7744		1549				
	24		3890		2262		11540		7010		962				
