05/27/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		878		341		186		335		3743		0		0
	2		879		342		186		343		3305		0		0
	3		879		342		187		349		3141		0		0
	4		880		344		187		355		2860		0		0
	5		880		342		187		342		3028		3		0
	6		880		343		185		337		3311		7		0
	7		880		343		184		361		3333		100		0
	8		878		342		184		357		3292		352		24
	9		878		344		187		362		3474		705		221
	10		877		340		193		362		3572		1005		294
	11		876		343		197		373		3485		1268		308
	12		876		344		199		372		3555		1416		308
	13		876		344		199		366		3702		1542		306
	14		876		345		199		384		3507		1528		306
	15		877		344		200		380		3457		1388		277
	16		876		338		199		391		3563		1131		300
	17		875		337		199		398		3245		861		146
	18		875		346		198		405		2775		540		9
	19		875		345		201		409		2586		223		0
	20		876		344		206		416		2402		38		0
	21		876		343		207		424		2155		0		0
	22		876		338		207		411		2137		0		0
	23		876		342		206		394		2172		0		0
	24		877		344		209		376		2218		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5488		2279		4279		8389		1323				
	2		5059		2278		3906		8045		1829				
	3		4904		2279		3573		8192		1833				
	4		4630		2278		3528		8283		1850				
	5		4782		2276		3216		8820		1531				
	6		5062		2274		3279		8934		1358				
	7		5202		2273		3623		8280		1675				
	8		5429		2273		3600		8810		1549				
	9		6171		2275		3582		8673		1749				
	10		6644		2278		3680		8601		2117				
	11		6852		2275		4099		8274		2823				
	12		7069		2277		4379		8136		2877				
	13		7334		2278		4077		8441		2865				
	14		7146		2278		4389		8360		3001				
	15		6922		2279		4292		8466		3274				
	16		6799		2279		4440		8689		3115				
	17		6061		2276		4670		9249		3312				
	18		5148		2276		4697		9720		3927				
	19		4640		2276		5045		9742		4082				
	20		4282		2275		5254		10172		4176				
	21		4007		2277		6548		9922		4751				
	22		3970		2277		6656		10069		3700				
	23		3990		2276		5908		9755		2777				
	24		4025		2278		5177		9254		2125				
