12/01/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1081		310		182		76		235		0		0		
	2		1082		308		182		42		208		0		0		
	3		1081		307		182		39		135		0		0		
	4		1081		305		181		39		226		0		0		
	5		1081		306		182		78		252		0		0		
	6		1081		304		181		87		144		0		0		
	7		1080		299		181		106		109		0		0		
	8		1080		300		179		103		74		618		0		
	9		1080		289		178		91		102		1648		0		
	10		1078		277		174		93		72		2261		86		
	11		1077		279		173		95		114		2519		28		
	12		1077		278		173		95		100		2417		0		
	13		1076		279		172		95		117		2079		0		
	14		1076		280		172		96		122		1702		1		
	15		1077		277		177		101		130		987		1		
	16		1077		285		178		104		134		372		1		
	17		1078		289		178		127		139		0		0		
	18		1079		284		179		166		212		0		0		
	19		1081		284		179		166		218		0		0		
	20		1081		283		179		163		214		0		0		
	21		1081		274		178		129		284		0		0		
	22		1082		266		178		125		340		0		0		
	23		1083		247		178		128		332		0		0		
	24		1083		256		179		86		380		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1883		2265		9932		4997		651						
	2		1821		2266		9831		4501		617						
	3		1745		2267		9816		4321		610						
	4		1832		2266		9985		4088		560						
	5		1899		2267		10921		3483		658						
	6		1796		2268		12002		3862		953						
	7		1775		2267		13959		4115		1363						
	8		2354		2267		14632		4454		1198						
	9		3388		2266		14568		4371		908						
	10		4040		2262		14379		4498		769						
	11		4285		2261		14401		4578		648						
	12		4140		2260		14248		4753		794						
	13		3819		2259		14720		4598		861						
	14		3449		2260		14570		5281		881						
	15		2751		2259		14936		5435		999						
	16		2151		2258		15486		5218		1248						
	17		1811		2258		15925		5865		1654						
	18		1920		2259		17793		6250		1591						
	19		1928		2259		17139		6704		1775						
	20		1921		2258		16907		6384		1683						
	21		1947		2258		16349		6014		1516						
	22		1991		2257		14304		6443		1477						
	23		1967		2257		12960		6027		1102						
	24		1983		2257		11423		5735		765						
