12/31/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1069		275		153		205		1799		0		0		
	2		1051		276		158		200		1439		0		0		
	3		1070		277		162		167		1406		0		0		
	4		1070		277		162		169		1408		0		0		
	5		1069		277		162		208		1406		0		0		
	6		1069		283		161		220		1452		0		0		
	7		1069		288		160		219		1382		0		0		
	8		1069		279		158		235		1345		261		0		
	9		1069		278		158		235		1462		1280		0		
	10		1067		278		156		234		1491		2127		0		
	11		1067		280		155		232		1354		2952		10		
	12		1067		298		155		231		1370		3257		17		
	13		1066		309		156		232		1828		3223		0		
	14		1066		310		157		224		2389		2718		26		
	15		1065		309		159		228		2168		2221		75		
	16		1066		306		165		242		1580		1247		81		
	17		1067		305		165		252		1545		0		8		
	18		1068		314		166		298		1342		0		0		
	19		1069		303		164		299		1279		0		0		
	20		1068		316		164		255		1244		0		0		
	21		1068		318		164		248		934		0		0		
	22		1068		319		163		243		581		0		0		
	23		1069		300		163		226		333		0		0		
	24		1069		288		165		217		528		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3501		1506		12029		5662		228						
	2		3123		1404		11788		5381		195						
	3		3081		1289		11517		5295		180						
	4		3086		1222		11457		5253		184						
	5		3123		1193		11735		5333		261						
	6		3186		1132		12159		5771		692						
	7		3118		1132		12058		6803		1505						
	8		3347		1132		12432		6812		1842						
	9		4481		1132		12790		6354		1459						
	10		5354		1103		12453		6364		1005						
	11		6049		1086		11652		6644		874						
	12		6395		1087		11257		6477		652						
	13		6814		1086		9911		6665		685						
	14		6891		1086		9608		6413		566						
	15		6224		1086		9701		6553		758						
	16		4685		1087		10897		6894		1003						
	17		3342		1086		12019		7654		1794						
	18		3187		1087		14420		7981		2729						
	19		3113		1087		14804		8010		2848						
	20		3049		1087		14392		8040		2395						
	21		2732		1085		14009		7867		2184						
	22		2374		1084		13279		8128		1814						
	23		2091		1084		13070		7899		1396						
	24		2266		1085		12839		7287		952						
