05/24/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		880		289		157		350		3161		0		0
	2		877		288		156		339		3130		0		0
	3		872		289		155		339		3111		0		0
	4		873		291		155		339		2776		0		0
	5		872		315		156		339		2454		0		0
	6		873		320		155		337		2240		0		0
	7		874		323		156		346		1820		95		0
	8		873		323		154		371		1665		439		40
	9		872		317		150		385		1302		850		244
	10		887		309		150		370		854		1185		314
	11		892		316		142		373		513		1449		327
	12		899		312		144		381		428		1548		328
	13		893		316		153		387		513		1567		325
	14		895		322		155		402		678		1563		323
	15		899		328		157		404		1040		1531		326
	16		901		335		157		401		1602		1377		324
	17		893		337		166		398		2235		1084		306
	18		894		336		166		397		2402		689		268
	19		901		330		167		396		2483		262		165
	20		871		331		172		394		2681		39		19
	21		878		326		173		414		2732		0		0
	22		872		322		172		420		2666		0		0
	23		875		320		170		393		2788		0		0
	24		876		319		172		364		2853		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4834		2279		5949		8862		1308				
	2		4786		2278		5911		8447		1261				
	3		4763		2278		5730		8158		1171				
	4		4432		2279		6189		7979		1027				
	5		4133		2277		6391		8237		1190				
	6		3923		2277		6789		8647		1362				
	7		3613		2279		7214		9232		1560				
	8		3864		2280		8292		9083		1988				
	9		4118		2279		9152		8413		2297				
	10		4068		2279		9078		8817		2699				
	11		4010		2281		9307		8986		2957				
	12		4041		2282		9391		8969		3144				
	13		4155		2281		9359		8562		3351				
	14		4338		2281		9084		8700		3368				
	15		4685		2281		8967		8457		3429				
	16		5097		2282		8571		8456		3411				
	17		5418		2282		8624		7994		3403				
	18		5152		2281		8874		8007		3153				
	19		4705		2282		9060		8333		2910				
	20		4507		2282		9052		8432		2845				
	21		4526		2280		9308		9088		3132				
	22		4456		2281		8772		9367		2933				
	23		4551		2281		8468		8241		2664				
	24		4589		2281		7134		8670		1681				
