05/26/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		889		329		200		213		3669		0		0
	2		890		326		200		214		3742		0		0
	3		890		336		200		208		3755		0		0
	4		889		341		200		208		3698		0		0
	5		888		330		200		208		3555		0		0
	6		889		317		199		217		3449		0		0
	7		888		323		199		228		3114		327		0
	8		887		323		199		233		2553		1432		83
	9		886		341		200		237		2123		2617		418
	10		885		343		199		244		1742		3359		509
	11		884		343		201		235		1381		3794		563
	12		882		342		200		257		1182		3931		580
	13		884		342		201		274		1405		3938		574
	14		884		342		200		281		1703		3915		551
	15		884		342		201		268		2223		3870		549
	16		883		342		201		265		2846		3621		536
	17		883		342		200		272		3332		3069		454
	18		883		340		202		279		3624		2272		396
	19		884		340		201		298		3862		1045		242
	20		885		329		201		305		3897		171		17
	21		885		328		203		297		4007		0		0
	22		887		320		201		280		3942		0		0
	23		888		323		192		237		3936		0		0
	24		889		325		190		220		3867		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5300		2282		6054		7543		1592				
	2		5372		2281		5423		7260		1267				
	3		5389		2280		4626		7286		1234				
	4		5335		2280		4336		7276		1264				
	5		5181		2282		4521		7279		1411				
	6		5071		2283		4854		7230		1456				
	7		5078		2283		4462		7482		1582				
	8		5711		2283		4679		7439		1754				
	9		6821		2283		4751		7306		1889				
	10		7283		2284		5883		7560		1622				
	11		7399		2283		6931		7590		1829				
	12		7374		2280		7518		7706		2286				
	13		7616		2281		8701		7251		2273				
	14		7875		2279		9258		7168		2352				
	15		8336		2279		10036		6979		2492				
	16		8695		2279		10749		6890		2563				
	17		8553		2279		11267		6984		2865				
	18		7996		2279		11410		7162		3537				
	19		6870		2280		11888		6864		4231				
	20		5804		2280		12313		6802		4064				
	21		5721		2280		12278		7495		3696				
	22		5630		2282		11894		7633		2801				
	23		5576		2282		9681		8179		1834				
	24		5489		2282		7911		7739		1492				
