12/14/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1059		288		159		188		55		0		0		
	2		1060		285		162		177		64		0		0		
	3		1060		285		171		141		92		0		0		
	4		1060		288		175		141		43		0		0		
	5		1059		290		177		140		25		0		0		
	6		1060		292		180		139		19		0		0		
	7		1059		298		179		171		22		0		0		
	8		1059		298		177		184		23		563		0		
	9		1059		296		172		167		10		1842		0		
	10		1058		296		174		166		4		2867		0		
	11		1058		296		175		167		22		3144		66		
	12		1057		294		176		168		53		3012		99		
	13		1057		297		177		177		72		3236		68		
	14		1056		298		176		195		95		2985		180		
	15		1056		298		177		196		105		2577		267		
	16		1056		297		177		195		46		1256		44		
	17		1057		294		179		232		31		0		0		
	18		1056		291		180		272		29		0		0		
	19		1056		298		181		278		33		0		0		
	20		1057		296		182		274		41		0		0		
	21		1056		289		182		236		90		0		0		
	22		1057		283		178		228		80		0		0		
	23		1057		278		182		206		84		0		0		
	24		1055		269		182		202		44		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1748		2253		10154		6238		1264						
	2		1747		2255		9098		6329		1190						
	3		1748		2255		8843		6188		991						
	4		1707		2254		8462		6414		914						
	5		1691		2256		8401		6345		1091						
	6		1690		2257		8295		6628		1234						
	7		1729		2255		8557		7143		1194						
	8		2305		2256		8393		7200		1339						
	9		3546		2256		8405		7082		1105						
	10		4566		2255		8124		6999		978						
	11		4928		2255		8160		6824		873						
	12		4858		2256		8018		6726		1072						
	13		5083		2256		8200		6413		975						
	14		4985		2255		7786		6685		1121						
	15		4677		2255		8483		6591		956						
	16		3071		2255		10105		7023		1092						
	17		1793		2255		11661		7849		1817						
	18		1830		2257		14205		8256		2125						
	19		1847		2256		14681		8164		2182						
	20		1850		2256		14547		8149		2103						
	21		1853		2256		14156		8116		2003						
	22		1826		2255		13056		8083		1799						
	23		1806		2255		11701		7802		1207						
	24		1752		2255		10531		7057		936						
