11/15/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1083		225		184		63		2481		0		0		
	2		1084		225		184		58		2310		0		0		
	3		1085		250		184		18		2538		0		0		
	4		1084		252		184		16		2383		0		0		
	5		1084		253		184		55		2271		0		0		
	6		1085		250		183		57		2617		0		0		
	7		1085		255		184		57		2376		77		0		
	8		1083		255		182		57		2556		1130		0		
	9		1084		256		183		59		2651		2620		136		
	10		1083		256		182		68		2744		3463		269		
	11		1083		256		183		68		3025		3754		328		
	12		1083		256		172		68		2701		3738		82		
	13		1082		256		171		68		2124		3667		142		
	14		1079		262		176		68		2328		3524		233		
	15		1079		263		181		80		2751		3000		366		
	16		1080		265		183		80		2752		1521		238		
	17		1080		266		183		84		2621		0		0		
	18		1082		261		183		147		2700		0		0		
	19		1083		256		184		163		2337		0		0		
	20		1082		262		183		119		2172		0		0		
	21		1081		274		184		102		2184		0		0		
	22		1083		274		184		88		2052		0		0		
	23		1083		277		185		88		2005		0		0		
	24		1081		288		185		87		2065		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4036		2264		8982		5014		458						
	2		3861		2265		8356		4946		477						
	3		4075		2265		7882		4667		489						
	4		3920		2263		7775		4705		489						
	5		3846		2264		8036		4567		524						
	6		4192		2265		7907		4979		556						
	7		4033		2266		7951		5527		907						
	8		5264		2265		8016		4972		774						
	9		6989		2265		7636		4710		669						
	10		8065		2265		7478		4621		607						
	11		8697		2267		7054		4832		498						
	12		8099		2267		7384		4921		704						
	13		7511		2264		7931		4610		816						
	14		7671		2261		7825		4446		781						
	15		7720		2261		7685		4591		828						
	16		6118		2261		8497		5521		990						
	17		4234		2262		10662		6112		1119						
	18		4374		2262		11743		6879		1556						
	19		4022		2263		11771		7356		1412						
	20		3818		2264		11385		7287		1457						
	21		3826		2263		11031		6992		1342						
	22		3680		2263		10448		6838		1151						
	23		3637		2263		9972		5985		1061						
	24		3705		2263		8921		5510		892						
