12/09/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1060		223		181		136		63		0		0		
	2		1060		217		181		137		64		0		0		
	3		1060		218		178		136		72		0		0		
	4		1060		225		178		133		107		0		0		
	5		1060		226		181		129		93		0		0		
	6		1059		223		181		157		82		0		0		
	7		1059		222		181		159		81		0		0		
	8		1059		222		179		179		94		705		0		
	9		1058		221		180		178		144		1977		0		
	10		1057		234		179		181		133		2885		319		
	11		1055		241		178		176		99		3279		467		
	12		1054		237		177		183		55		3550		457		
	13		1055		247		175		183		56		3635		443		
	14		1055		248		177		182		64		3369		436		
	15		1055		244		176		185		27		2606		351		
	16		1055		246		178		181		21		1371		160		
	17		1057		248		170		196		86		0		0		
	18		1058		248		173		257		162		0		0		
	19		1062		247		181		254		167		0		0		
	20		1062		255		182		250		52		0		0		
	21		1062		269		182		205		26		0		0		
	22		1062		260		182		204		17		0		0		
	23		1063		249		182		179		18		0		0		
	24		1064		269		182		175		80		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1663		1591		9558		7496		788						
	2		1659		1644		8646		7537		736						
	3		1664		1769		8061		7551		684						
	4		1703		1888		8053		7320		690						
	5		1689		2006		8347		7394		732						
	6		1703		2126		9178		7850		899						
	7		1702		2197		10577		8413		1416						
	8		2438		2200		11390		8321		1342						
	9		3758		2202		11102		7768		1270						
	10		4987		2236		10608		7562		966						
	11		5495		2249		10580		7462		854						
	12		5712		2249		10222		7615		999						
	13		5794		2246		10276		7540		922						
	14		5531		2247		10831		7244		1137						
	15		4644		2247		11890		6931		1422						
	16		3213		2247		12730		7613		1394						
	17		1756		2248		14578		7832		1778						
	18		1899		2247		16141		8564		1934						
	19		1911		2246		16359		8267		2041						
	20		1801		2247		15963		8200		1995						
	21		1744		2250		15304		8335		1668						
	22		1724		2249		13678		8422		1410						
	23		1691		2251		12097		7584		1351						
	24		1770		2252		10019		7539		1056						
