05/14/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		893		272		158		219		362		0		0
	2		894		271		158		211		417		0		0
	3		895		270		157		182		496		0		0
	4		893		271		157		181		466		0		0
	5		895		265		158		196		357		0		0
	6		895		259		157		241		330		0		0
	7		894		263		155		267		459		279		0
	8		894		264		153		282		542		1405		60
	9		889		267		152		283		789		2639		475
	10		885		271		151		282		1041		3343		582
	11		885		277		154		275		1140		3741		605
	12		883		274		154		273		1074		3799		602
	13		882		277		154		259		1098		3747		600
	14		877		277		151		275		1044		3657		594
	15		874		277		155		284		926		3393		601
	16		878		278		157		288		738		2987		597
	17		883		267		156		296		602		2941		557
	18		886		263		157		328		528		2205		478
	19		889		257		157		332		402		929		231
	20		889		263		160		339		340		0		0
	21		888		267		159		336		305		0		0
	22		890		260		157		258		350		0		0
	23		891		243		157		237		428		0		0
	24		893		243		158		236		606		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		1904		2287		9667		8953		1295				
	2		1951		2286		9207		8549		1039				
	3		2001		2286		8358		8755		1033				
	4		1969		2286		8110		8824		1037				
	5		1870		2285		8552		8761		1162				
	6		1882		2285		9206		8718		1324				
	7		2317		2286		9630		8765		1789				
	8		3600		2285		10341		8637		1907				
	9		5494		2281		10256		8612		1856				
	10		6555		2277		10910		8582		1874				
	11		7077		2287		11788		8589		2149				
	12		7059		2283		13758		8195		2025				
	13		7017		2281		14523		8324		2433				
	14		6875		2282		16143		8580		2418				
	15		6509		2283		17733		8677		2478				
	16		5923		2283		18916		8568		3102				
	17		5703		2285		19812		8634		3081				
	18		4846		2286		19668		9097		3603				
	19		3196		2286		19970		9475		3837				
	20		1992		2287		20401		9083		3713				
	21		1956		2285		19857		9566		3607				
	22		1916		2285		18398		9889		2631				
	23		1956		2286		15158		9855		2195				
	24		2137		2287		12331		9588		1656				
