12/20/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1055		273		172		243		810		0		0		
	2		1054		268		172		244		384		0		0		
	3		1054		268		172		206		264		0		0		
	4		1054		268		171		207		412		0		0		
	5		1054		267		171		209		478		0		0		
	6		1054		281		171		210		586		0		0		
	7		1054		290		172		239		534		0		0		
	8		1054		287		171		256		690		284		0		
	9		1053		290		171		264		771		800		0		
	10		1052		288		170		258		839		1790		0		
	11		1052		289		171		267		801		1856		0		
	12		1052		288		170		260		1393		2195		0		
	13		1050		288		170		262		1374		1965		0		
	14		1050		284		169		263		1385		1722		0		
	15		1050		286		169		265		1950		1297		0		
	16		1050		284		169		290		2062		644		0		
	17		1039		285		170		299		2136		0		0		
	18		1040		286		170		376		2036		0		0		
	19		1040		290		171		378		2099		0		0		
	20		1040		289		170		345		1911		0		0		
	21		1039		287		171		339		1955		0		0		
	22		1053		286		171		323		1719		0		0		
	23		1055		286		172		294		1781		0		0		
	24		1053		272		172		252		1802		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2552		2141		8778		7701		724						
	2		2122		2141		8888		7913		340						
	3		1965		2140		8221		7629		484						
	4		2113		2141		7765		7642		479						
	5		2179		2142		8364		7558		289						
	6		2301		2142		7694		7752		763						
	7		2289		2142		7680		8168		1192						
	8		2741		2143		8009		8301		1113						
	9		3349		2141		8142		8311		1418						
	10		4397		2140		7897		8271		1312						
	11		4435		2140		8075		8222		1360						
	12		5357		2138		7814		8180		794						
	13		5108		2136		8285		8151		662						
	14		4874		2135		8644		7707		762						
	15		5017		2134		8273		8048		649						
	16		4500		2134		9083		7750		858						
	17		3930		2134		9300		8777		1266						
	18		3907		2137		11233		8977		1818						
	19		3978		2138		11076		9103		1893						
	20		3756		2137		11050		8900		1868						
	21		3791		2138		10561		8851		1762						
	22		3553		2138		10225		8701		1524						
	23		3588		2137		9545		8111		1183						
	24		3552		2137		8107		7852		1053						
