11/28/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1088		255		180		64		105		0		0		
	2		1087		253		179		25		108		0		0		
	3		1087		253		178		26		119		0		0		
	4		1086		254		178		25		119		0		0		
	5		1087		258		178		26		126		0		0		
	6		1086		262		178		70		191		0		0		
	7		1085		264		178		85		321		22		0		
	8		1083		263		178		77		258		1031		0		
	9		1082		264		179		75		233		2592		206		
	10		1080		265		179		75		224		3254		466		
	11		1079		264		178		75		220		3713		478		
	12		1078		264		178		76		401		3803		462		
	13		1030		264		177		74		666		3616		323		
	14		978		265		179		72		803		3633		322		
	15		1041		266		179		74		1083		3045		308		
	16		1075		267		180		75		1130		1567		232		
	17		1075		267		180		89		1020		0		2		
	18		1075		265		181		170		1054		0		0		
	19		1075		278		181		174		914		0		0		
	20		1075		277		180		137		656		0		0		
	21		1075		276		179		110		706		0		0		
	22		1075		274		179		100		714		0		0		
	23		1075		286		179		88		489		0		0		
	24		1075		279		179		88		473		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1691		2264		7157		8048		587						
	2		1652		2265		6663		8002		541						
	3		1664		2263		6775		7639		383						
	4		1663		2262		6380		7881		459						
	5		1675		2263		6569		7921		459						
	6		1786		2262		6591		8220		707						
	7		1955		2263		6662		8812		845						
	8		2890		2264		6733		8382		766						
	9		4632		2265		6574		7754		570						
	10		5543		2265		6394		7704		444						
	11		6006		2266		6298		7694		446						
	12		6261		2268		6266		7505		558						
	13		6150		2267		6615		7395		514						
	14		6254		2266		6512		7673		492						
	15		5996		2263		6547		8241		543						
	16		4526		2261		7343		8997		834						
	17		2632		2261		9622		9236		1006						
	18		2745		2263		10781		9506		1720						
	19		2621		2267		10847		9565		1694						
	20		2325		2270		10767		9442		1484						
	21		2348		2270		10403		9324		1146						
	22		2342		2269		9667		9188		1102						
	23		2116		2270		9004		8856		920						
	24		2094		2269		7816		8626		698						
