05/14/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		849		347		185		312		1501		0		0
	2		849		345		184		309		1505		0		0
	3		849		346		184		309		1525		0		0
	4		850		349		182		306		1391		0		0
	5		850		350		182		300		1456		0		0
	6		851		347		179		299		1600		0		0
	7		850		346		174		314		1588		57		0
	8		850		344		173		317		1358		330		30
	9		850		343		171		339		1264		726		133
	10		850		342		172		343		1476		1029		146
	11		881		341		175		346		1744		1278		248
	12		883		340		173		345		1761		1368		275
	13		882		340		172		355		1881		1354		274
	14		881		339		173		367		2212		1386		248
	15		875		341		181		372		2932		1349		122
	16		877		349		178		375		3075		1179		111
	17		883		369		175		382		3009		921		105
	18		866		368		179		385		2797		560		98
	19		852		369		191		388		2642		193		68
	20		851		344		185		387		2806		0		0
	21		853		322		190		393		2527		0		0
	22		853		323		191		390		2647		0		0
	23		854		323		182		366		2626		0		0
	24		853		324		179		360		3565		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		3190		2276		9957		8440		1455				
	2		3189		2274		8703		8415		1354				
	3		3210		2275		7947		8357		1197				
	4		3075		2273		8034		8005		1113				
	5		3135		2272		7981		8177		1110				
	6		3272		2271		8806		8270		1212				
	7		3330		2270		8880		8993		1649				
	8		3401		2270		10567		8933		1931				
	9		3825		2269		11336		8730		2088				
	10		4358		2271		11083		9316		2553				
	11		5013		2272		11630		9369		2585				
	12		5144		2274		12526		8995		2669				
	13		5258		2274		13081		8621		2865				
	14		5606		2272		13843		7834		3283				
	15		6173		2272		13496		8233		3076				
	16		6144		2272		13623		8251		3425				
	17		5844		2271		14000		8030		3663				
	18		5253		2270		14308		8367		3146				
	19		4702		2273		13572		8641		3194				
	20		4583		2275		12962		8438		3335				
	21		4282		2274		12873		9174		3375				
	22		4401		2272		11680		9110		3157				
	23		4349		2273		10342		8430		2176				
	24		5279		2275		7905		8227		1141				
