11/24/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1082		322		179		62		408		0		0		
	2		1083		320		179		26		149		0		0		
	3		1085		324		179		26		103		0		0		
	4		1087		322		179		28		91		0		0		
	5		1087		317		179		65		101		0		0		
	6		1087		310		179		78		133		0		0		
	7		1087		303		179		78		200		50		0		
	8		1087		289		178		79		214		1085		0		
	9		1086		295		176		100		148		2676		225		
	10		1084		293		176		100		147		3561		307		
	11		1081		291		175		101		317		3837		261		
	12		1083		298		174		118		470		3831		354		
	13		1085		307		175		141		502		3872		317		
	14		1082		305		176		106		579		3752		330		
	15		1081		305		165		100		527		3103		246		
	16		1081		307		165		100		473		1589		178		
	17		1083		311		167		111		320		0		0		
	18		1085		310		167		166		172		0		0		
	19		1087		311		167		182		118		0		0		
	20		1087		310		166		171		134		0		0		
	21		1087		309		165		96		129		0		0		
	22		1087		297		165		90		126		0		0		
	23		1087		296		166		90		105		0		0		
	24		1087		300		165		90		101		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2053		2269		8486		6849		549						
	2		1757		2269		8244		6896		427						
	3		1717		2269		8376		6577		335						
	4		1707		2267		8774		6119		427						
	5		1749		2267		8816		6584		475						
	6		1788		2268		9447		7304		615						
	7		1898		2269		10427		7977		1032						
	8		2933		2269		10473		8250		1089						
	9		4706		2269		10435		7716		704						
	10		5669		2268		10218		7279		713						
	11		6063		2267		9692		7591		779						
	12		6328		2268		9667		7488		681						
	13		6399		2266		9710		7213		710						
	14		6330		2265		10389		6737		846						
	15		5526		2265		10896		6947		1037						
	16		3892		2264		11636		7724		1195						
	17		1992		2266		13536		8396		1230						
	18		1901		2269		14810		8840		1907						
	19		1864		2268		14485		8888		2111						
	20		1868		2268		14042		8808		2000						
	21		1785		2269		13563		8825		1543						
	22		1766		2268		12265		8959		1283						
	23		1743		2268		11501		8119		961						
	24		1743		2269		10543		7401		706						
