11/30/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1078		277		178		83		288		0		0		
	2		1078		277		178		79		316		0		0		
	3		1078		279		178		69		383		0		0		
	4		1079		276		178		38		754		0		0		
	5		1081		299		178		37		1156		0		0		
	6		1082		304		178		97		887		0		0		
	7		1082		287		178		101		751		0		0		
	8		1081		287		177		102		860		358		0		
	9		1081		284		178		94		969		1359		0		
	10		1082		286		177		90		709		2098		42		
	11		1081		285		178		90		781		2346		9		
	12		1080		285		178		93		1061		2450		0		
	13		1079		287		178		91		952		2660		0		
	14		1079		287		177		91		978		2935		0		
	15		1080		288		177		92		1044		2552		78		
	16		1080		289		177		107		855		1113		91		
	17		1081		302		177		135		602		0		0		
	18		1080		305		180		181		451		0		0		
	19		1080		307		182		180		439		0		0		
	20		1080		307		181		146		609		0		0		
	21		1079		305		180		141		523		0		0		
	22		1079		303		181		132		379		0		0		
	23		1080		298		182		110		300		0		0		
	24		1079		307		182		92		318		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1904		2267		7285		7835		788						
	2		1927		2268		6889		7490		622						
	3		1987		2269		6734		7049		571						
	4		2326		2268		6272		6872		546						
	5		2752		2268		5980		6735		583						
	6		2547		2269		6350		6549		903						
	7		2399		2268		6675		6814		927						
	8		2865		2268		6893		6620		991						
	9		3964		2267		6958		6687		897						
	10		4483		2267		7087		6987		1064						
	11		4770		2267		7542		6897		1335						
	12		5146		2266		7828		6668		1149						
	13		5248		2265		7877		6748		928						
	14		5547		2267		7490		6753		879						
	15		5311		2267		7412		6966		1023						
	16		3713		2266		8962		7229		1203						
	17		2296		2267		11279		7284		1595						
	18		2198		2267		12800		7784		2051						
	19		2187		2267		12915		8025		1851						
	20		2324		2266		12198		8216		1830						
	21		2229		2266		11765		8168		1551						
	22		2074		2266		11315		7315		1491						
	23		1969		2265		9927		7400		1106						
	24		1977		2265		8897		6708		971						
