04/03/13			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		924		247		202		337		2489		0		0
	2		924		248		201		336		2572		0		0
	3		924		254		202		338		2120		0		0
	4		924		262		202		342		1534		0		0
	5		924		271		202		345		1335		0		0
	6		924		284		201		340		770		0		0
	7		923		282		201		347		457		3		0
	8		922		287		199		368		243		188		0
	9		919		291		198		389		156		625		94
	10		917		306		182		408		84		972		267
	11		916		309		175		404		31		1209		294
	12		915		304		176		387		44		1293		276
	13		915		310		178		398		83		1310		262
	14		914		307		189		400		111		1310		264
	15		914		308		188		401		89		1252		273
	16		914		312		196		398		66		1120		290
	17		913		318		194		403		79		903		269
	18		912		304		195		406		199		511		126
	19		913		291		202		400		529		0		15
	20		915		287		202		422		596		0		0
	21		916		260		203		408		763		0		0
	22		919		262		201		414		983		0		0
	23		921		271		201		364		1161		0		0
	24		921		272		202		345		1197		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4195		2274		7124		6809		1648				
	2		4278		2276		6905		6302		1363				
	3		3834		2277		7103		6369		1226				
	4		3260		2276		7388		6127		1305				
	5		3073		2276		7351		6681		1324				
	6		2515		2276		8228		7214		1550				
	7		2212		2274		8935		7842		2297				
	8		2208		2273		9151		8272		2785				
	9		2672		2274		10432		7689		2458				
	10		3133		2274		10427		7485		2701				
	11		3338		2274		10610		7583		2685				
	12		3391		2274		11212		7508		2364				
	13		3451		2274		11017		7606		2618				
	14		3491		2274		11027		7872		2586				
	15		3422		2275		11313		7974		2436				
	16		3291		2275		11176		8049		2662				
	17		3075		2274		11085		8308		2710				
	18		2648		2275		10953		8669		2722				
	19		2459		2274		10479		9105		2845				
	20		2419		2271		11244		9002		3870				
	21		2547		2271		11778		9046		3814				
	22		2777		2273		10421		9091		3470				
	23		2915		2272		9755		7937		2813				
	24		2935		2271		9073		7369		1995				
