09/27/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		880		269		173		159		2719		0		0
	2		881		266		173		155		2654		0		0
	3		882		269		173		121		2627		0		0
	4		882		262		173		120		2576		0		0
	5		882		270		173		121		2534		0		0
	6		883		274		173		165		2400		0		0
	7		883		278		173		156		2215		1		0
	8		883		271		173		157		2551		545		0
	9		883		261		172		161		2570		1823		34
	10		881		260		171		160		2265		3054		301
	11		881		260		170		163		2036		3666		372
	12		880		269		169		161		2237		3683		208
	13		879		277		167		161		2316		3566		190
	14		878		273		164		156		2668		3694		190
	15		878		276		164		156		2674		3833		270
	16		877		276		168		156		2818		3524		404
	17		877		275		172		157		2988		2669		429
	18		877		274		172		171		3196		1340		257
	19		877		276		170		188		2670		0		1
	20		877		275		170		189		2498		0		0
	21		878		276		170		180		2668		0		0
	22		879		274		170		166		2860		0		0
	23		879		273		170		165		2854		0		0
	24		880		264		170		169		3020		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4200		2273		10629		5276		620				
	2		4129		2274		9904		5076		509				
	3		4072		2274		9502		4863		499				
	4		4013		2274		9170		4779		486				
	5		3980		2274		9002		4878		516				
	6		3894		2275		9151		5238		519				
	7		3707		2275		8759		6472		584				
	8		4579		2276		8617		6015		542				
	9		5903		2277		8198		6137		711				
	10		7093		2276		8342		5831		699				
	11		7548		2274		8629		5698		701				
	12		7609		2274		8899		5701		714				
	13		7556		2274		9037		5784		810				
	14		8023		2274		8427		5880		1048				
	15		8252		2273		8580		5980		1159				
	16		8223		2272		8309		6517		1199				
	17		7568		2272		8326		6905		1406				
	18		6288		2272		8665		7681		1538				
	19		4182		2272		10191		8017		1822				
	20		4009		2272		11272		8275		2099				
	21		4171		2273		11187		8294		1490				
	22		4348		2274		10658		7636		1334				
	23		4341		2276		10508		6586		991				
	24		4503		2276		9612		5798		796				
