07/07/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		888		338		200		193		3321		0		0
	2		888		357		200		156		3142		0		0
	3		890		361		200		143		2836		0		0
	4		887		360		198		140		2319		0		0
	5		888		354		199		143		2198		0		0
	6		890		337		197		181		2014		0		0
	7		889		333		197		195		1719		266		0
	8		888		328		198		221		1670		1234		15
	9		887		334		201		239		1251		2343		198
	10		884		338		201		240		910		3076		258
	11		882		339		202		240		780		3549		333
	12		881		340		201		233		686		3731		455
	13		880		344		202		259		736		3833		638
	14		880		344		203		285		967		3851		417
	15		880		343		203		289		1555		3753		336
	16		878		344		202		328		2201		3425		342
	17		880		347		202		329		2592		2971		334
	18		881		343		203		340		2868		2120		320
	19		882		340		204		340		3030		1127		204
	20		883		343		204		293		3059		246		38
	21		884		340		204		292		2847		0		0
	22		884		331		203		294		2994		0		0
	23		883		329		203		257		3073		0		0
	24		884		327		202		240		3092		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4940		2268		9216		8876		1180				
	2		4744		2269		8082		8971		945				
	3		4431		2268		7792		8788		768				
	4		3904		2267		8100		8679		697				
	5		3783		2267		8421		8715		683				
	6		3620		2269		9132		8975		690				
	7		3601		2269		9564		9259		1296				
	8		4555		2264		10291		9355		1753				
	9		5452		2267		12077		8812		1779				
	10		5908		2266		13324		8768		2004				
	11		6324		2264		14624		8449		2345				
	12		6526		2262		15954		8518		2395				
	13		6892		2261		16507		8412		2836				
	14		6947		2260		17643		8332		3097				
	15		7359		2260		17874		8372		3423				
	16		7720		2262		17705		8733		3475				
	17		7655		2262		18097		8456		3710				
	18		7076		2264		18300		8518		3856				
	19		6126		2264		18129		8711		3886				
	20		5065		2263		17989		8700		3690				
	21		4566		2264		17602		8913		3745				
	22		4707		2265		16310		9198		3205				
	23		4745		2264		14498		8923		2214				
	24		4745		2263		12727		8578		1389				
