01/10/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1067		340		173		187		27		0		0		
	2		1068		336		175		150		47		0		0		
	3		1069		331		169		148		76		0		0		
	4		1069		340		167		149		72		0		0		
	5		1069		340		167		149		35		0		0		
	6		1070		343		167		187		9		0		0		
	7		1070		345		167		192		16		0		0		
	8		1069		341		167		191		15		292		0		
	9		1068		336		167		189		23		1619		0		
	10		1064		333		165		190		6		2576		0		
	11		1062		337		166		190		18		2452		0		
	12		1061		334		168		190		34		2526		0		
	13		1061		334		167		190		66		2372		12		
	14		1060		332		167		192		49		2322		11		
	15		1059		332		167		193		17		1721		0		
	16		1060		346		167		194		21		836		0		
	17		1061		346		167		205		32		140		0		
	18		1063		349		167		216		33		0		0		
	19		1064		350		168		216		26		0		0		
	20		1064		352		168		215		35		0		0		
	21		1064		353		168		215		23		0		0		
	22		1064		351		169		204		19		0		0		
	23		1064		345		168		206		14		0		0		
	24		1065		338		168		205		13		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1794		2267		8327		7696		881						
	2		1776		2267		8063		7576		832						
	3		1792		2268		7923		7273		837						
	4		1797		2268		7695		7158		763						
	5		1760		2267		7581		7294		797						
	6		1775		2270		7812		7385		1032						
	7		1790		2269		8126		7845		1050						
	8		2075		2269		8525		7882		1034						
	9		3402		2268		8086		7967		971						
	10		4334		2268		8001		7829		866						
	11		4226		2269		8464		7680		844						
	12		4312		2270		8596		7346		859						
	13		4203		2270		8321		7592		808						
	14		4134		2268		8381		7784		810						
	15		3488		2268		8708		7765		828						
	16		2624		2268		8814		8471		1073						
	17		1952		2267		9637		8858		1360						
	18		1827		2267		11731		9154		1548						
	19		1824		2267		11716		9476		1606						
	20		1833		2268		11537		9138		1609						
	21		1823		2267		11348		8752		1506						
	22		1807		2268		10318		8920		1347						
	23		1797		2268		9365		8619		1139						
	24		1789		2269		8322		8155		1030						
