12/30/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1069		282		165		223		1861		0		0		
	2		1070		286		169		220		2247		0		0		
	3		1002		287		171		206		2697		0		0		
	4		1021		288		171		213		2885		0		0		
	5		1065		286		171		218		2779		0		0		
	6		1071		284		171		228		2161		0		0		
	7		1071		280		171		231		2003		0		0		
	8		1070		281		171		247		1768		396		0		
	9		1068		281		171		247		1590		1637		47		
	10		1067		274		170		244		1359		2925		314		
	11		1065		278		169		243		1362		3395		406		
	12		1065		293		169		240		1589		2970		454		
	13		1069		308		171		203		1545		2414		405		
	14		1069		292		170		196		2196		1790		267		
	15		1068		296		171		190		2409		998		57		
	16		1069		297		173		236		2504		438		0		
	17		1068		306		173		245		2365		0		0		
	18		1070		303		172		293		2068		0		0		
	19		1069		294		168		297		2423		0		0		
	20		1068		292		160		287		2724		0		0		
	21		1070		292		164		250		2678		0		0		
	22		1070		292		167		245		2395		0		0		
	23		1070		287		165		225		2205		0		0		
	24		1069		276		161		211		2327		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3600		2151		9816		6122		276						
	2		3992		2152		9177		5475		252						
	3		4364		2153		8849		5331		87						
	4		4577		2153		8874		5038		83						
	5		4520		2154		9156		4901		338						
	6		3916		2154		9924		5714		731						
	7		3756		2153		11601		5556		1387						
	8		3932		2153		11841		6169		1562						
	9		5040		2154		11980		6011		1273						
	10		6353		2152		10944		6499		879						
	11		6918		2151		10672		5989		948						
	12		6781		2151		10533		6132		958						
	13		6115		2150		11069		6019		963						
	14		5980		2151		10968		6228		897						
	15		5189		2154		11662		6177		1082						
	16		4716		2152		12082		6382		1138						
	17		4157		2151		12886		6900		1635						
	18		3907		2152		15482		6814		2072						
	19		4251		2152		15423		6878		2176						
	20		4532		2151		14858		6769		2132						
	21		4452		2082		14486		6631		2033						
	22		4169		1938		13710		6844		1800						
	23		3952		1793		13777		6062		1157						
	24		4044		1649		12160		6141		565						
