01/07/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1065		276		164		187		22		0		0		
	2		1066		267		164		178		76		0		0		
	3		1066		271		163		145		101		0		0		
	4		1066		276		164		144		93		0		0		
	5		1065		294		163		182		103		0		0		
	6		1065		302		163		186		103		0		0		
	7		1066		308		164		200		103		0		0		
	8		1066		310		160		224		90		446		0		
	9		1064		309		159		219		74		2009		37		
	10		1062		310		158		217		61		3062		277		
	11		1061		310		159		214		49		3732		365		
	12		1059		317		158		205		33		3786		360		
	13		1059		325		158		209		30		3681		366		
	14		1058		325		158		210		18		3282		355		
	15		1056		328		158		214		7		2915		295		
	16		1057		329		153		223		7		1599		153		
	17		1058		333		159		230		7		0		4		
	18		1059		331		162		276		18		0		0		
	19		1063		330		164		278		24		0		0		
	20		1063		330		163		243		19		0		0		
	21		1063		330		163		238		17		0		0		
	22		1064		330		163		221		20		0		0		
	23		1064		330		162		203		30		0		0		
	24		1065		317		162		202		37		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1714		2260		9822		6405		783						
	2		1751		2261		9513		6265		770						
	3		1746		2264		9542		6242		743						
	4		1743		2264		9460		6257		750						
	5		1807		2264		9884		6138		797						
	6		1819		2265		10155		6782		1010						
	7		1840		2266		11707		7622		1288						
	8		2296		2266		12633		7756		1160						
	9		3870		2267		11397		7576		1123						
	10		5148		2268		10529		7148		1038						
	11		5891		2268		10352		7116		850						
	12		5918		2267		10320		7104		831						
	13		5828		2264		10526		7024		836						
	14		5406		2264		10825		7087		887						
	15		4974		2265		10919		7373		1033						
	16		3521		2262		11184		8043		1225						
	17		1791		2263		12936		8283		1377						
	18		1846		2265		14386		8688		1736						
	19		1857		2263		13901		9615		1638						
	20		1819		2264		13628		9317		1542						
	21		1810		2263		12793		9292		1514						
	22		1798		2262		11868		9007		1308						
	23		1789		2262		10598		8509		1093						
	24		1783		2264		9431		7807		959						
