12/18/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1051		261		184		227		964		0		0		
	2		1052		261		182		193		827		0		0		
	3		1052		263		182		193		703		0		0		
	4		1052		266		184		195		706		0		0		
	5		1044		267		184		195		500		0		0		
	6		1022		255		183		231		333		0		0		
	7		1026		271		183		257		161		0		0		
	8		1025		271		182		263		167		372		0		
	9		1026		271		180		244		137		1500		0		
	10		1020		266		180		243		108		2697		30		
	11		1018		270		178		238		129		3362		60		
	12		1018		273		175		230		118		3251		60		
	13		1045		269		179		240		71		3305		48		
	14		1048		272		177		254		90		3026		70		
	15		1048		272		179		250		94		2487		88		
	16		1050		274		181		255		98		1569		35		
	17		1051		274		183		284		80		0		0		
	18		1051		271		183		317		87		0		0		
	19		1051		274		183		317		85		0		0		
	20		1050		274		184		318		73		0		0		
	21		1050		273		185		322		96		0		0		
	22		1050		274		184		322		85		0		0		
	23		1050		269		183		263		136		0		0		
	24		1049		258		183		247		129		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		2688		2259		9882		6481		645						
	2		2515		2259		9641		6650		297						
	3		2394		2260		9594		6625		71						
	4		2403		2260		8956		6536		368						
	5		2191		2262		9880		6345		407						
	6		2025		2175		10716		6847		797						
	7		1898		2140		11840		7913		1393						
	8		2280		2144		12329		8194		1391						
	9		3359		2145		11544		8381		1127						
	10		4544		2144		11131		8251		746						
	11		5255		2146		10414		8311		650						
	12		5125		2144		10191		7906		908						
	13		5156		2141		10255		7473		949						
	14		4938		2144		10286		7511		1041						
	15		4418		2141		10612		7595		1092						
	16		3462		2137		11174		8153		1227						
	17		1872		2141		13394		8253		1783						
	18		1909		2143		15511		8678		2145						
	19		1909		2143		15627		8828		2067						
	20		1898		2144		15105		9006		2022						
	21		1926		2143		14761		8854		1779						
	22		1915		2141		13492		9001		1548						
	23		1900		2139		12308		8499		970						
	24		1866		2139		10803		7955		647						
