11/11/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		895		245		160		48		2138		0		0		
	2		895		245		160		47		2191		0		0		
	3		895		246		161		46		2278		0		0		
	4		896		245		165		46		2045		0		0		
	5		896		246		165		46		1915		0		0		
	6		896		247		164		52		1843		0		0		
	7		895		246		164		52		1772		124		0		
	8		895		254		163		47		1787		1264		10		
	9		895		255		164		47		1616		2670		310		
	10		895		258		164		55		1599		3368		494		
	11		894		264		162		46		1737		3587		490		
	12		894		263		160		41		1754		3564		464		
	13		894		264		164		41		1846		3499		317		
	14		894		261		164		55		2021		3128		44		
	15		894		266		177		82		2331		2707		0		
	16		1069		267		180		92		2584		1297		0		
	17		1079		266		177		95		2712		0		0		
	18		1079		265		175		108		2757		0		0		
	19		1080		254		177		110		2501		0		0		
	20		1082		239		176		109		2928		0		0		
	21		1082		257		177		85		3146		0		0		
	22		1082		263		176		80		3136		0		0		
	23		1082		260		176		76		3125		0		0		
	24		1081		253		177		76		2794		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3486		2260		9181		5201		346						
	2		3538		2260		8850		4699		311						
	3		3626		2260		8374		4563		314						
	4		3397		2260		8607		4461		315						
	5		3267		2260		8945		4723		340						
	6		3202		2259		9382		5572		465						
	7		3254		2259		10090		6264		768						
	8		4420		2258		10449		6192		769						
	9		5957		2259		10523		6031		513						
	10		6832		2259		10408		6097		533						
	11		7179		2261		10318		6298		585						
	12		7141		2259		10582		6131		668						
	13		7024		2259		10619		6190		682						
	14		6568		2260		11041		6162		720						
	15		6457		2260		11235		6083		651						
	16		5490		2263		11897		6344		700						
	17		4329		2265		12959		6720		1140						
	18		4383		2265		14272		7225		1501						
	19		4121		2268		14092		7336		1745						
	20		4534		2266		13388		7207		1475						
	21		4746		2264		12473		7148		1169						
	22		4738		2266		11781		6418		858						
	23		4719		2270		10363		5821		767						
	24		4381		2269		9542		5356		447						
