05/07/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		900		269		178		231		4293		0		0
	2		901		265		191		223		4137		0		0
	3		901		266		194		191		4084		0		0
	4		901		272		192		190		3781		0		0
	5		901		270		190		191		3463		0		0
	6		902		269		187		224		3228		0		0
	7		901		268		189		241		2904		184		0
	8		912		270		187		238		2958		1132		3
	9		945		271		188		234		3257		2247		243
	10		937		268		187		236		3186		3009		468
	11		914		275		191		237		2691		3294		422
	12		895		272		193		245		2211		3419		318
	13		895		271		195		248		2301		3308		195
	14		895		272		199		249		2503		3217		167
	15		893		272		199		247		2696		3178		160
	16		885		276		199		250		3098		2953		129
	17		754		276		196		251		3197		2431		56
	18		773		277		197		259		3045		1858		54
	19		856		279		197		264		2842		752		31
	20		903		296		199		292		2797		0		0
	21		902		294		199		292		3003		0		0
	22		901		290		193		270		3305		0		0
	23		902		283		196		214		3632		0		0
	24		903		279		197		214		3444		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		5872		2288		5523		7063		1148				
	2		5717		2288		4949		7080		1182				
	3		5636		2289		4710		7185		1107				
	4		5337		2289		4946		7112		1002				
	5		5016		2289		5361		7299		1050				
	6		4810		2288		5890		7402		1306				
	7		4687		2288		7956		6040		2014				
	8		5700		2289		8354		5955		2267				
	9		7386		2290		8039		5820		1778				
	10		8292		2289		8472		5395		1461				
	11		8025		2289		9038		5542		1646				
	12		7554		2289		9209		5716		1926				
	13		7414		2289		9620		5255		1789				
	14		7501		2288		9240		5410		1949				
	15		7644		2289		9043		5493		1934				
	16		7790		2290		8706		5675		1862				
	17		7164		2290		8884		5938		2072				
	18		6463		2290		8989		5953		2442				
	19		5222		2290		9788		6109		2783				
	20		4488		2291		10615		6073		3314				
	21		4689		2290		10928		6847		3428				
	22		4958		2290		10165		6973		2650				
	23		5227		2292		8256		7829		1535				
	24		5037		2291		6587		7918		1386				
