01/03/15			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1070		254		164		196		3		0		0		
	2		1070		258		163		199		8		0		0		
	3		1070		255		163		195		18		0		0		
	4		1071		257		163		195		37		0		0		
	5		1071		256		163		194		5		0		0		
	6		1071		256		163		195		35		0		0		
	7		1071		258		163		209		59		0		0		
	8		1072		259		163		226		18		556		0		
	9		1068		260		162		225		12		2314		22		
	10		1068		258		163		225		6		3586		228		
	11		1067		259		162		219		6		3989		363		
	12		1066		262		161		184		9		4030		368		
	13		1065		260		161		173		7		4018		366		
	14		1063		257		161		170		11		3916		291		
	15		1064		256		162		173		12		3400		314		
	16		1064		256		162		175		13		2029		224		
	17		1069		272		162		229		142		0		5		
	18		1069		275		162		280		616		0		0		
	19		1070		277		162		280		702		0		0		
	20		1070		295		162		243		911		0		0		
	21		1069		296		168		242		607		0		0		
	22		1070		297		173		230		285		0		0		
	23		1070		298		176		211		243		0		0		
	24		1070		296		176		205		124		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		1686		1132		11953		7636		398						
	2		1698		1131		12227		6998		82						
	3		1702		1131		12025		6836		-78						
	4		1723		1132		11951		6623		-50						
	5		1690		1132		11832		6791		32						
	6		1721		1132		11921		7207		180						
	7		1760		1132		11715		8032		553						
	8		2294		1133		11358		7745		739						
	9		4063		1132		10334		7288		816						
	10		5534		1132		9340		6988		726						
	11		6065		1132		9193		6408		644						
	12		6079		1132		8903		6479		443						
	13		6050		1131		8571		6404		439						
	14		5869		1131		8495		6318		449						
	15		5381		1131		8605		6642		437						
	16		3923		1130		9836		7276		486						
	17		1878		1130		11368		8190		1431						
	18		2402		1131		12834		8601		2319						
	19		2491		1132		13141		8844		2433						
	20		2681		1131		12735		8913		2374						
	21		2383		1132		12405		9035		2379						
	22		2055		1132		12433		8803		1865						
	23		1998		1131		12026		8386		1353						
	24		1871		1131		11824		7616		893						
